"region_id","bufa_share_1980","estimate","pchange"
"A01",0,-0.00196364210577009,-1
"A01A",0,-0.01092196207665,-1
"A03",0,-0.05638618968636,-1
"A03B",0,-0.00575035806119888,-1
"A03C",0.00604056366052054,0.00659470901892386,0.847197333923888
"A05A",0.0557433798614696,-0.0384460130624541,-0.354192015071617
"A05B",0.0410387339965389,-0.0664340988031741,-0.618147833945915
"A05C",0.0553582978290611,-0.0689680784109696,-0.554734083762052
"A06",0,-0.0538154102066764,-1
"A07",0.183673722858998,-0.164954862500182,-0.463618468260492
"A08",0.0654211642185152,-0.0192052076335551,-0.132156235686339
"A09",0.097170672199809,0.00405325932634126,0.0208481135276476
"C00",0.217627417174502,0.063377715704964,0.184435733832571
"C01",0.0327222525579366,-0.0915866982795708,-0.633317522462463
"C01A",0.346193964720261,-0.414474307612232,-0.535109182342155
"C01B",0.472202840117592,-0.510761030755424,-0.519598159898315
"C02",0.313137761344379,-0.110791043197624,-0.234870025532739
"C03",0.159952623908764,-0.108739370116732,-0.374761618525888
"C03A",0.14414656998283,-0.0863422401021064,-0.248272004198919
"C06",0.0656321450319896,-0.0972616083260912,-0.389836420709469
"C08",0.00154617974288029,0.151232348771404,1
"C09",0.00794535868020472,-0.0606319471320774,-0.859393854067601
"C10",0.0757458571204435,-0.0092725062515136,-0.0642023039852788
"C11",0.0571629278363218,0.105630511395422,0.813900204682241
"C11A",0.0268175544456178,-0.0663451934988955,-0.712142942997023
"C12",0.192226045604166,-0.0699268141261311,-0.20452161019145
"C13",0.0203738279963555,-0.0356757855510969,-0.393509625305279
"C14",0.131478512389672,-0.12502510747672,-0.468748755530407
"C15",0,-0.0247255538429661,-0.795339047425691
"C16",0.0260888240666152,-0.0365877341673064,-0.453308805345093
"C17",0.0309931038266229,0.016596113129638,0.338871296827204
"C18",0.0276138290522098,-0.0630286863168172,-0.600670621540683
"C18A",0.280257995089245,-0.0606087144938004,-0.125928496581406
"C19",0.0507940905558386,-0.0384054203949191,-0.319817379972934
"C19A",0.0200017989138298,-0.117079108137144,-0.702674369126912
"C20",0.00284507726479168,-0.00941421319896699,-0.603502493449715
"C21",0.124562144848362,-0.063380987421583,-0.296096025450216
"C23",0.00310753757308002,0.0125823664793641,1
"C24",0,-6.52909783659265e-05,-1
"C26",0.0705567884939757,0.045837766996446,0.360728851367962
"C27",0.0225541553941518,-0.0547978529299826,-0.639653368978991
"C28",0.000838361519571162,-0.00949904550715742,-0.899136652425424
"C29",0.0056060195657276,-0.0323920751074297,-0.747583217495509
"C29A",0.0471687871392173,-0.0951851333798316,-0.668651295536989
"C29B",0.094341043065948,-0.0200094464808781,-0.0976014672615916
"C31",0,0.000479828517391874,0.0171791776678479
"C31A",0.0405516834001243,-0.0912151288418157,-0.531207943681643
"C34",0.049060790843207,-0.155397938888543,-0.639202314904581
"C35",0.167528035178406,-0.0251898437581123,-0.0914328572246424
"D01",0.0812190551271453,-0.236575164112175,-0.672043794679547
"D02",0.0922957393831218,-0.11196552883225,-0.534820283919663
"D03",0.0500580330506094,-0.17148908485969,-0.761941606949038
"D04",0.112193204412483,-0.0661252306526869,-0.241359021866045
"D05",0.0515702110840328,-0.0288019360491738,-0.28030215278195
"D07",0.0963362232726037,-0.0539086502238485,-0.283095703292433
"D09",0.00292607318834528,-0.0679753183273869,-0.808156395200861
"E01",0.111869494315258,-0.0900968533165549,-0.333197183893584
"E02",0.0722096179580066,-0.0848891026619283,-0.52335401784053
"E03",0.358986634839635,-0.376055810311834,-0.491862188385754
"E03B",0.0211355201278464,0.0215442255811393,0.294166655990173
"E05",0.0133633164139247,-0.0353375647266405,-0.725604216988308
"F01",0,0.037412754310687,1
"F05",0.0122725182529984,-0.0300637700204734,-0.710118228274432
"F06",0.0305619397029461,-0.0761248413854357,-0.549924933594357
"F11",0,0.29910680741085,1
"F12",0,0.325485219485448,1
"F13",0,-0.0294653734036387,-0.242588778740818
"H00",0.00289678409876814,-0.0757367170131386,-0.798192197229985
"K04",0,-0.235240683401984,-1
"L01",0.0236072419501021,-0.330263382716706,-0.639884873018262
"L05",0.00112020643808771,-0.504888855361766,-0.988666679837239
"L06",0.0322191019099045,0.160097649745781,0.489256400481048
"L09",0,-0.0530173068532934,-0.958831538924282
"M03",0.136785886040925,-0.0403590246665304,-0.0991183633528242
"M05",0,-0.0100868388484959,-0.287694722177057
"M06",0.000672738854668483,-0.109140068550141,-0.989128704822526
"M07",0,-0.298734269138649,-0.882193407101281
"M08",0.00541541927926059,0.0404272927521047,0.243028336858784
"M09",0.000915231906550934,-0.2936492459843,-0.970788486979469
"M10",0,-0.403571321218633,-1
"N01",0.000638160893029437,-0.0402028676027802,-0.979401136195098
"N03",0,-0.670209584689895,-0.999514814028291
"N04",0.0123353735817918,-0.134100341511921,-0.733539134452472
"P04A",0.0807872405701283,0.182348082977946,0.479346869895122
"P05A",0.0335694624895642,0.028651529283248,0.134853902172129
"P09A",0.106851904176678,0.0427187157636068,0.0606623285791179
"P12",0,-0.0208391759151113,-0.555841313993431
"Q01",0.0192000576299742,0.319831337939976,1
"T05",0.0186387634099573,-0.00438441057077589,-0.145210477353594
"T12",0,-0.0308704860254146,-1
